9,10,30,144
16,20,43,184
25,28,58,284
36,40,76,348
77,91,116,603
112,151,180,887
153,205,220,1096
200,268,272,1598
253,340,336,2540
320,999999999,520,3676
385,999999999,604,4290
490,999999999,699,4946
585,999999999,802,6679
700,999999999,948,9492
830,999999999,1125,12770
970,999999999,1668,14344
1120,999999999,1937,16005
1260,999999999,2226,20642
1420,999999999,3040,27434
1620,999999999,3988,35108
1860,999999999,5564,38577
1990,999999999,6272,42206
2240,999999999,7021,52708
2504,999999999,9114,66971
2950,999999999,11473,82688
3426,999999999,15290,89544
3934,999999999,16891,96669
4474,999999999,18570,117821
6889,999999999,23229,144921
7995,999999999,28359,174201
9174,999999999,36478,186677
10425,999999999,39716,199584
11748,999999999,43088,238617
13967,999999999,52417,286366
15775,999999999,62495,337147
17678,999999999,78160,358435
19677,999999999,84175,380376
21773,999999999,90404,447685
30543,999999999,107611,526989
34212,999999999,125915,610246
38065,999999999,153941,644736
42102,999999999,191781,793535
46323,999999999,204351,921810
53026,999999999,248352,1106758
58419,999999999,286212,1260955
64041,999999999,386371,1487304
69892,999999999,409795,1557657
75973,999999999,482092,1990632
102468,999999999,509596,2083386
115254,999999999,999999999,999999999
128692,999999999,999999999,999999999
142784,999999999,999999999,999999999
157528,999999999,999999999,999999999
178184,999999999,999999999,999999999
196300,999999999,999999999,999999999
215198,999999999,999999999,999999999
234879,999999999,999999999,999999999
255341,999999999,999999999,999999999
330188,999999999,999999999,999999999
365914,999999999,999999999,999999999
403224,999999999,999999999,999999999
442116,999999999,999999999,999999999
482590,999999999,999999999,999999999
536948,999999999,999999999,999999999
585191,999999999,999999999,999999999
635278,999999999,999999999,999999999
687211,999999999,999999999,999999999
740988,999999999,999999999,999999999
925400,999999999,999999999,999999999
1473746,999999999,999999999,999999999
1594058,999999999,999999999,999999999
1718928,999999999,999999999,999999999
1848355,999999999,999999999,999999999
1982340,999999999,999999999,999999999
2230113,999999999,999999999,999999999
2386162,999999999,999999999,999999999
2547417,999999999,999999999,999999999
2713878,999999999,999999999,999999999
3206160,999999999,999999999,999999999
3681024,999999999,999999999,999999999
4022472,999999999,999999999,999999999
4377024,999999999,999999999,999999999
4744680,999999999,999999999,999999999
5125440,999999999,999999999,999999999
5767272,999999999,999999999,999999999
6204000,999999999,999999999,999999999
6655464,999999999,999999999,999999999
7121664,999999999,999999999,999999999
7602600,999999999,999999999,999999999
9738720,999999999,999999999,999999999
11649960,999999999,999999999,999999999
13643520,999999999,999999999,999999999
18339300,999999999,999999999,999999999
23836800,999999999,999999999,999999999
35658000,999999999,999999999,999999999
999999999,999999999,999999999,999999999
999999999,999999999,999999999,999999999
999999999,999999999,999999999,999999999
999999999,999999999,999999999,999999999
